Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Cipla Ltd,CIPLA,"Pharmaceuticals","87844.99134928001","403.35","-132.31999999999994","-1316.96","2624.75","3325.9","-1599.79","701.15","21117.38","5739.779999999996","3424.44","26857.159999999996","574.52","-1858.43","2591.02","1631.69","161.36","4123.45",,"204.86999999999998","355.63","3541.33","14727.539999999999","4912.87","80.6814036","1055.78",,"21117.38","5350.24","252.38999999999635","19048.640000000003","1119.61","2321.85","1829.4099999999999","6908.1799999999985",,"826.9099999999963","12129.619999999999","275.69"
Shree Cement Ltd,SHREECEM,"Cement","87452.5170024","384.33","-324.2800000000001","-1048.99","449.7600000000002","2667.98","-849.38","2218.22","17510.57","6238.309999999998","788.29","23748.879999999997","1385.9800000000002","-2142.88","1022.26","2408.63","36.08","3815.9500000000003",,"674.39","5506.34","0","8470.33","4686.4400000000005","3.6080748","2129.2200000000003",,"17510.57","2497.02","165.88999999999635","15015.57","762.06","3664.1800000000003","1369.07","8335.76",,"1551.8699999999967","15278.55","50.29"
Varun Beverages Ltd,VBL,"Soft Drinks","85016.3020137","108.26","46.19000000000011","-392.96999999999997","396.6200000000001","1231.42","-177.68","834.8","4196.700000000001","5382.789999999997","221.25","9579.489999999998","1813.3300000000004","-1007.55","830.7","2473.47","433.03","336.62","308.72999999999996",,"0","572.615","2546.11","3020.249999999999","64.95409593384","3355.5",,"4196.700000000001","1448.09","240.47999999999817","1173.4100000000003","225.99","2189.5499999999993","540.15","6234.774999999999",,"2362.5399999999986","7033.379999999998","116.79"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","83988.108375","1337.55","-4075.7799999999997","212.20000000000005","8532.210000000001","10032.78","-1349.05","1500.57","19316.879999999997","40937.46000000001","4641.53","60254.340000000004","2.4100000000000037","-12759.51","2696.26","0","334.39","14347.72",,"565.57","1362.7","1204.88","46847.97","26884.9","33.43875","49.27",,"19316.88","16209.64","14050.150000000007","18978.74","2239.28","24188.64","11649.08","8033.940000000001",,"14052.560000000007","13406.370000000003","3.75"
Interglobe Aviation Ltd,INDIGO,"Airlines","78542.41542894","0","506.4499999999998","563.1699999999998","1743.6999999999998","2090.58","-3087.84","346.88","-5988.059999999998","51950.64","332.92","45962.58","25474.829999999998","1503.71","3151.82","3881.7","385.26","18226.61",,"294.94000000000005","0.01","0","20228.87","22417.14","38.5254729","36877.84",,"-5988.0599999999995","408.06","4058.6700000000033","-10260.9","4029.74","19265.32","1261.2800000000002","21409.020000000004",,"29533.5","25733.710000000003","0"
Adani Wilmar Ltd,AWL,"FMCG - Foods","74595.053533975","0","69.81999999999971","-489.55999999999995","624.34","1159.96","2691.47","535.62","7606.369999999999","13710.890000000003","2218.58","21317.260000000002","144.44000000000014","-3781.61","1940.11","3945.36","129.97","4544","252.76",,"312.05","56.71","15926.09","12812.99","129.9678605","2701.1100000000006",,"7606.369999999999","7716.52","500.7000000000036","3531.0399999999995","102.28","10872.88","1446.99","4920.13",,"897.9000000000037","5391.17","0"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","74264.36769084001","14482.78","-5473.619999999999","-535.0499999999992","12585","20335.63","-17671.68","7750.63","51905.619999999995","135623.01","9707.47","187528.63","44399.66","-8137.57","30468.4","6356.22","2129.45","6678.960000000001","6375.72",,"19173.63","1636.9","61999.36","83068.47","212.9455489","64534.200000000004",,"51905.619999999995","42178.74","1779.16","43509.77","7021.23","52600.07","3434.19","97697.51000000001",,"52554.54000000001","125529.27","0"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","73722.054335745","0","114.96000000000004","-10017.560000000001","-4491.38","-4391.46","5044.54","99.92","7752.700000000001","26895.73","168.47","34648.43","7987.1500000000015","-538.12","1116.8","988.09","943.18","1106.39",,"218.53","1297.19","0","2491.76","18908.579999999998","94.3172489","22982.460000000003",,"7752.700000000001","0","0","5821.43","0","17791.78","1216.9","453.70000000000005","30187.25","7987.1500000000015","32156.67",
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","73115.05437038","407.1","421.2199999999999","-91.30000000000007","1469.51","1727.83","-547.15","258.32","6002.889999999999","4520.32","766.26","10523.21","272.57","-759.46","2401.49","121.5","62.63","2701.4","350.62",,"272.68","1339.47","6606.5599999999995","3633.11","62.6303067","437.58",,"6002.89","2968.08","264.02","5818.76","153.15","1231.6200000000003","170.82","2151.3499999999995",,"887.21","3916.6499999999996","0"
Bharat Electronics Ltd,BEL,"Electronic Equipments","73061.23939585501","1023.31","-1742.0399999999995","729.5899999999999","3652.6600000000003","4207.22","-1077.6","554.56","12302.270000000002","21609.869999999995","6108.09","33912.14","51.510000000000005","-4871.66","3369.3","0","243.66","7563.74",,"619.49","1572.02","96.74","27296.719999999998","19584.049999999996","731.011995201202","52.7",,"12302.27","5594.91","1974.31","12042.27","742.61","16214.749999999996","8029.98","3584.56",,"2025.82","6615.419999999999","16.34"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","71370.7647705","414.6","3.2000000000001023","-2126","905.9000000000001","2810.8","-242.2","1904.9","19212.4","10533.1","6676.4","29745.5","574.5999999999999","-2565.4","2557.2","670.1","83.2","4436.5",,"1275.6","598.6","547.3","17782.3","9765.800000000001","16.6426049","3384.5",,"19212.4","5088.4","192.7","18619.2","674.1","7208.600000000001","1581","8867.599999999999",,"767.3","11963.199999999999","0"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","70962.55488525","398.19","-796.0699999999999","-233","1242.47","1515.81","-994.77","273.34","16293.56","4781.310000000004","835.15","21074.870000000003","592.78","-1317.11","1915.85","6430.87","92.16","2797.92","733.6899999999999",,"599.25","10265.18","7135.68","3172.6200000000003","92.1551715","1412.01",,"16293.559999999998","2266.51","282.22000000000367","8618.91","493.62","1256.7700000000004","1236.1","2581.1399999999994",,"1608.6900000000035","13939.19","1151.62"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","67856.96227582","287.26","696.26","1831.1299999999999","1642.44","1831.14","-319.3","188.7","11985.450000000012","231968.93","0","243954.38","1200","-815.58","5.52","3482.51","1437.31","670.93",,"0.85","237618.14","0","4907.5199999999995","5252.26","143.7306101","1200",,"11985.449999999999","0","225516.66999999998","7065.629999999999","940.12","5246.74","4236.589999999999","487.75","0","226716.66999999998","239046.86000000002","0"
SRF Ltd,SRF,"Diversified Chemicals","67196.54357925","211.74","312.1899999999998","-1066.06","273.64999999999986","2105.72","-207.28","1832.07","8565.359999999999","7199.650000000003","1792.45","15765.010000000002","1848.48","-1586.25","2011.97","509.56","297.44","776.09","665.8599999999999",,"4.16","101.71000000000001","5254.32","4440.3099999999995","29.7441025","3655.19",,"8565.359999999999","2138.47","245.00000000000364","7755.14","409.61","2428.3399999999992","547.31","9995.210000000003",,"2759.340000000004","10510.690000000002","0"
Marico Ltd,MARICO,"FMCG - Personal Products","66580.88925355","1217","167","-693","884","1016","-1290","132","3405","2272","652","5677","91","441","1352","485","129","1220",,"78","187","945","3505","2153","129.1018088","479",,"3405","1412","28","2792","108","801","221","854",,"119","2172","57"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","66335.24899572","558.51","-740.9400000000007","-883.3599999999999","-575.1300000000001","6692.73","-1183.2","7267.86","26028.459999999992","86521.53","5979.74","112549.98999999999","35937.49","-6250.47","12313.97","3107.54","319.56","7051.219999999999","698.6999999999998",,"13749.81","1858.58","24632.26","38733.649999999994","319.6991847","51195.119999999995",,"26028.46","4231.52","11151.69","19014.46","12143.38","26419.679999999993","7369.78","60165.95999999999",,"47787.88","87917.73","3586.9"
GAIL (India) Ltd,GAIL,"Gas Distribution","64008.595024605005","3995.37","13.210000000000491","-6832.66","2657.3100000000004","9628.59","-3915.89","6971.28","64305.45999999999","32278.75","7446.53","96584.20999999999","6469.96","-5699.49","6828.1","0","4440.39","2804.03","4199.17",,"16408.15","0","16331.96","15117.54","666.05778375","9215.72",,"64305.46","3601.42","6492.08","59673.89","3781.64","8289.44","2479.98","60062.46",,"17161.21","80252.25","191.18"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","63682.943508585","43.3","157.79999999999995","-642.4000000000001","970.8","1628","-792.6","657.2","5877.699999999998","7306.400000000001","1767.6","13184.099999999999","3760.5","-677.6","1709.1","2863.7","71.9","1537.2","521.5",,"278.3","924.9","4121.6","2383.3","14.3784657","4068.1000000000004",,"5877.699999999999","431.9","641.1","2687.7","469.3","674.2000000000003","384.9","7390",,"4923.1","9062.499999999998","254.4"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","63299.2967476","1429.57","-0.6299999999998818","-135.79","1608.3200000000002","1609.65","-1459.54","1.33","51580.5","2007.1300000000074","10.03","53587.630000000005","113.69","-150.74","4.34","444.42","111.29","32.89","1825.2",,"52964.39","0","313.72999999999996","68.24000000000001","11.129351","113.69",,"51580.5","6.46","7.275957614183426e-12","42286.54","0","63.900000000000006","264.34999999999997","309.51","0","1938.8900000000074","53273.9","8738.25"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","62704.4388006","0","64.99000000000001","809.1","733.23","809.1","-879.08","75.87","9192.71","41655.6","0","50848.31","255","134.97","0","6404.22","490.89","292.64",,"345.61","38412.1","0","11138.97","41124.35","49.0891428","255",,"9192.71","0","276.25000000000205","2297.5999999999995","0","41124.35","10846.33","951.6299999999999","0","531.250000000002","39709.34",
Punjab National Bank,PNB,"Public Banks","62487.51329165","0","20859.45","-4599.829999999998","19395.94","19932.32","2031.5","536.38","98055.3899999999","1242416.05",,"1340471.44","59371.67","-1104.37",,"46038.53","2202.2","134193.88",,,"388585.82",,"134193.88","1154234.46","1101.1015558",,"1154234.46","98055.39",,"28809.92","49341.19","73229.7",,,"10696.21","733765.83","88181.59","1206277.5599999998","473.47"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","61778.8235493","0","-23.299999999999955","-662.3","843.4","977.4","-688","134","4874.800000000001","3988.1999999999985","2373.6","8863","135","-312.7","1605.8","4568.2","145.3","282.4",,"99.5","0","22.4","5163.4","3838.3","72.6638715","605.4",,"4874.800000000001","2156.7","14.899999999998181","359.90000000000055","1649.6","2232.5","350.70000000000005","1928.1",,"149.8999999999982","3699.6","-78.9"
Yes Bank Ltd,YESBANK,"Private Banks","61675.88723868001","0","17422.940000000002","18549.030000000002","23187.460000000003","23597.74","8391.16","410.28","33698.97000000003","284878.77",,"318577.74000000005","72340.18","-14565.96",,"32294.98","5010.99","46748.200000000004",,,"51753.99",,"46748.200000000004","197062.58","2505.4952981",,"197062.58","33698.97",,"15476.010000000058","-3607","36975.53",,,"2141.01","180959.01","87816.19000000005","271829.54000000004","0"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","59653.41735285","98.41","-1403.119999999999","-1950.4","13103.32","16047.77","-15119.57","2944.45","37095.20000000001","39548.34","1264.07","76643.54000000001","9031.57","-2331.32","5560.61","1960.22","101.07","4000.63","7276.22",,"137.8","3224.73","26608.85","22702.27","101.0736349","13501.640000000001",,"37095.200000000004","7281.36","538.28","33503.5","1870.71","17141.66","14062.79","44801.45",,"16846.07","50034.69","1470.54"
Indian Overseas Bank,IOB,"Public Banks","59637.110667680005","0","5968.82","-905.0899999999996","5482.92","5539.15","478.96","56.23","23224.179999999993","276432.23000000004",,"299656.41000000003","3070.64","-49.29",,"8557.9","19108.49","36951.26",,,"98267.22",,"36951.26","262213.76","1890.2412256",,"262213.76","23224.18",,"11147.830000000009","-4442.21","16818.33",,,"3366.04","144253.56","14218.470000000008","262705.15","0"
ABB India Ltd,ABB,"Heavy Electrical Equipments","59461.490025","105.95","-1485.81","-11.519999999999968","476.96000000000004","649.24","-126.83","172.28","4045.19","4027.55","1883.84","8072.74","18.529999999999998","-2008.22","1692.61","43.28","42.38","2687.74",,"93.86000000000001","0","15.26","6575.19","3954.34","21.1908375","36.66",,"4045.1899999999996","1009.09","54.68","3959.5299999999997","509.78","2261.7300000000005","994.5199999999999","878.6499999999999",,"73.21","1497.5499999999997",
Canara Bank Ltd,CANBK,"Public Banks","59412.765753","0","3525.0599999999995","-22157.830000000005","97.97000000000003","918.99","4035.45","821.02","70786.01000000001","1186877.52",,"1257663.53","46284.96","-1429.38",,"13983.85","1814.13","182391.42",,,"311347.24",,"182391.42","1086340.95","181.4130252",,"1086340.95","70786.01000000001",,"54251.61","54163.340000000004","48611.12",,,"11449.7","703864.05","100536.57","1075272.11","824.69"
IDBI Bank Ltd,IDBI,"Public Banks","58869.401908125","8.2","-8507.64","-13409.54","-4126.86","-3932.21","-4383.06","194.65","42699.90000000002","259964.99",,"302664.89","14344.98","-192.37",,"50719.7","10752.4","26800.47",,,"83475",,"26800.47","232849.59","1075.2402175",,"232849.59","42699.90000000001",,"12770.42","-18900.389999999996","36627.05",,,"9987.04","145775.33","27115.4","275864.42","128.19"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","56147.15006145","164.17","1218.4800000000005","-13511.359999999999","-5644.21","-5571.33","5150.27","72.88","11769","70709.03","71.31","82478.03","61819.549999999996","1639.54","127.59","2888.92","164.28","4301.84",,"674.26","2055.05","0","5308.06","8889.48","82.1726321","69173.49999999999",,"11769","0","0","8715.8","0","8761.89","934.91","295.95000000000005","74144.71","61819.549999999996","77169.97","0"
Berger Paints India Ltd,BERGEPAINT,"Paints","55658.3119677","271.96","-32.91999999999996","-789.2600000000001","-207.51999999999998","566.5","-78.13","774.02","3934.16","3277.330000000001","1053.68","7211.490000000001","280.2900000000001","-521.29","1653.98","120.72","97.13","400.21999999999997","51.67999999999999",,"147.06","275.68","4057.42","2851.72","97.1295037","1013.53",,"3934.1600000000003","2315.83","93.64000000000091","3709.1400000000003","214.69","1197.7399999999998","287.69","2516.640000000001",,"425.610000000001","3154.0700000000006","7.17"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","55296.078267594996","1907.27","-93.60000000000014","-1452.5500000000002","1534.04","2103.7","-1975.33","569.66","15994.7","6483.689999999999","2158.49","22478.39","251.67999999999995","-221.97","4384.18","41.12","39.96","6170.05","378.21",,"4657.56","6.68","10572.220000000001","5517.629999999999","19.9780217","605.17",,"15994.699999999999","1472.41","336.17","15765.57","537.85","1133.449999999999","771.27","6704.079999999999",,"966.06","11906.17","148.05"
Union Bank of India Ltd,UNIONBANK,"Public Banks","55088.06457596","0","34994.88","12119.300000000008","35589.35","36338.88","-786.29","749.53","70861.12000000011","1126104.21",,"1196965.33","51245.2","-557.71",,"18392.69","6834.75","119758.23000000001",,,"351839.04",,"119758.23000000001","1034367.75","683.4747466",,"1034367.75","70861.12000000001",,"40491.26000000002","45529.68000000001","54804.1",,,"7208.31","663355.65","91736.46000000002","1077207.1","0"
